class,gender,miles,debt,income,sales
28,0,23,0,4099,620
26,0,27,0,2677,1792
30,1,58,41576,6215,27754
26,1,25,43172,7626,28256
20,1,17,6979,8071,4438
58,1,18,0,1262,2102
44,1,17,418,7017,8520
39,1,28,0,3282,500
44,0,24,48724,9980,22997
46,1,46,57827,8163,26517
34,1,23,2595,7908,14112
32,1,23,33119,7261,20956
25,0,18,3517,5069,7650
35,0,14,1543,1376,3197
19,0,22,9362,4218,4531
53,1,47,3596,11069,18005
57,0,34,58481,7054,22854
27,1,33,3410,6755,10278
37,1,11,0,2170,739
24,0,30,2822,3462,4271
44,1,17,247,3586,4733
48,0,10,0,188,971
40,1,15,7254,6472,6263
54,1,31,41258,11881,24677
34,0,32,43708,11081,22830
57,0,34,8045,6385,9913
58,0,29,263,4766,3598
26,0,10,1971,9754,5222
49,1,21,47277,6370,22450
55,1,25,59138,10739,24993
40,1,38,56500,6528,28607
54,1,28,9882,8616,16875
59,1,30,751,2457,3199
36,0,38,50167,6022,25394
46,0,16,4342,6673,11562
21,0,25,4133,4212,4376
33,1,17,7134,7025,11530
31,1,22,0,3957,780
24,0,11,5503,1685,2945
29,1,18,166,7104,7601
25,0,20,6114,1206,15044
22,1,10,2389,1517,2073
22,0,23,3899,1882,2869
22,1,26,3992,4777,1492
38,1,28,5110,2818,5927
21,0,15,7375,3614,3454
21,1,14,9592,1305,2282
44,0,46,8590,11663,17374
52,1,48,23918,6654,20341
37,0,27,8020,6983,7062
35,1,23,47753,6595,27677
28,0,34,9310,6936,12581
30,0,35,3001,5805,10780
30,1,16,5044,11404,15288
45,1,26,72,2906,3928
25,0,18,1123,6874,3852
30,1,36,22992,6540,18819
58,1,27,0,1558,1447
27,1,21,2398,5094,15573
38,1,33,53432,6162,25996
46,1,26,8549,6669,14202
41,0,31,58742,10717,24097
60,0,39,10293,8851,21708
27,0,26,6551,3587,14074
35,0,38,30534,11236,21608
31,0,18,1383,4294,3453
29,0,26,5397,5427,6376
29,1,42,16366,11629,20247
35,1,50,54167,9503,22842
25,1,15,73,7292,5018
50,1,18,0,740,648
33,0,17,596,1419,2454
50,0,88,53232,7854,27800
56,1,14,67,1997,2531
49,1,30,0,0,1205
43,0,23,5313,8598,16653
30,1,80,50583,8776,28822
25,1,21,55591,8252,24291
48,0,25,5844,5376,12748
36,0,22,2394,9269,15905
25,1,19,4307,1304,5489
28,1,50,52146,9773,26152
24,1,14,733,3758,4785
36,0,26,6900,5463,6465
35,1,29,1802,5406,6200
21,1,25,7475,9604,4923
59,1,89,51363,9491,29715
56,0,31,11100,11495,20532
56,1,41,45577,9100,23645
39,1,25,56372,6942,22508
38,1,45,40218,7501,24130
34,1,25,0,0,1432
37,1,30,0,10744,27213
53,0,22,5214,7710,7388
29,1,20,5274,2848,5580
53,1,35,44112,8673,24161
55,0,20,41178,7710,24583
46,1,23,8816,6227,7274
20,0,26,9703,4239,3978
44,0,33,4169,7424,8082
27,1,68,40933,11664,27667
30,1,26,25184,9102,18965
46,1,47,43107,7385,23883
48,0,22,0,0,1206
25,0,20,16241,2262,19606
33,0,49,30660,10239,19634
23,0,13,8746,2650,4298
26,1,20,5015,7750,9851
37,1,53,50310,9689,27777
25,1,23,3212,3339,3310
53,1,13,0,6309,2228
42,1,28,8017,2118,9834
32,0,29,7730,5763,13699
26,0,34,25462,8030,21242
37,1,33,2014,5111,14133
59,1,50,49859,7120,24203
24,1,13,4829,1778,2327
58,0,47,53965,7824,26141
31,0,30,12650,9233,19173
25,0,12,787,2762,3433
56,1,16,5856,2512,10369
47,0,43,55494,6260,25664
25,1,28,8801,5718,9041
21,0,28,7205,10145,1712
53,0,30,17091,8908,18655
36,0,22,7530,5217,11119
31,0,22,9898,8559,7165
46,0,47,18335,10701,21376
46,1,13,91,6581,3510
